Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
10401056;PIN SYLV 28x120 4.20M RAB TR4 ;Ravate Pro;;Consommables;13,83;10401056;10401056;;;;;;;;;;
11110289;B/PTE SERVICE GALVA 990x2000;RAVATE PRO;;Consommables;12,74;11110289;11110289;;;;;;;;;;
11200400;Enduit colle C7 Multi usage 15Kg;RAVATE PRO;;Consommables;21,25;11200400;11200400;;;;;;;;;;
12700164;TUBE CARRE GALVA 100x100x3 6M;Ravate Pro;;Consommables;56,61;12700164;12700164;;;;;;;;;;
DIAG2483;FORET BETON ROCKFASTER 3 TAILLANTS TETE CARBURE MONOBLOC SDS+ DIAM.6X110MM;Quincaillerie Angles;;;13,15;DIAG2483;DIAG2483;;;;;;;;;;
16002717;BLOC BET CELLUL 60X50X7.5;Ravate Pro;;Consommables;12,06;16002717;16002717;;Béton style Siporex;;;;;;;;
18923930;VIS-CS-AUTOFRAIS-HILO-H2-(PHOS)-3,9X30;Coredime;Würth;Consommables;0,035616438;18923930;18923930;;;;;;;;;;
18923945;VIS-CS-AUTOFRAIS-HILO-H2-(PHOS)-3,9X45;Coredime;Würth;Consommables;0,057315068;18923945;18923945;;;;;;;;;;
18923955;VIS-CS-AUTOFRAIS-HILO-H2-(PHOS)-3,9X55;Coredime;Würth;Consommables;0,096027397;18923955;18923955;;;;;;;;;;
19006050;VIS BOIS ASSY4 FT AC ZI 6*50;Coredime;Würth;Consommables;0,130136986;19006050;19006050;;;;;;;;;;
20282690;Lot de 4 sachets filtre triple epaisseur KARCHER pour Aspirateurs WD/KWD;Weldom;Kärcher;Consommables;;20282690;20282690;;;;;;;;;;
21851236;ROCKET 5.0x70 (BT200);Ravate Pro;;Consommables;17,85;21851236;21851236;;;;;;;;;;
34332792;Disque à tronçonner acier/inox 125x1P;Ravate Pro;;Consommables;2,38;34332792;34332792;;;;;;;;;;
39506000;VBU PRO TFfTx25 ZBJ 6.0X50 FT (250p);Rfix;Etanco;Consommables;0,0567;39506000;39506000;;;;;;;;;;
55310000;BOULON POELIER Zn 5x60;Rfix;Etanco;Consommables;;55310000;55310000;;;;;;;;;;
73783000;RD.EXTRA LARGE INA2 M8 (30X8.6X1.5);Rfix;Etanco;Consommables;;73783000;73783000;;;;;;;;;;
90320840;CHEVILLE NYLON MASTER AVEC COL. 8X40;Coredime;Würth;Consommables;0,102739726;90320840;90320840;;;;;;;;;;
100022987;PRO BETON H-25 SAC 25KG;Ravate Pro;;Consommables;8,5;100022987;100022987;;;;;;;;;;
218080000;NYLON 8x40 avec collerette (100p);Rfix;Etanco;Consommables;2,53;218080000;218080000;;;;;;;;;;
218352000;NYLON X1 8x40;Rfix;Etanco;Consommables;0,0376;218352000;218352000;;;;;;;;;;
227050117;BOITE DE 200 CHEV. HITM 5X35/1;Coredime;Spit;Consommables;16,6;227050117;227050117;;;73181900;;;;;;;
227050118;BOITE DE 200 CHEV. HITM 6X30/5;Coredime;Spit;Consommables;11,07;227050118;227050118;;;73181900;;;;;;;
227050119;BOITE DE 100 CHEV. HITM 6X40/1;COREDIME;Spit;Consommables;0,1147;227050119;227050119;;;73181900;;;;;;;
227060125;HIT-MP 6X30 SEAU/1000;COREDIME;Spit;Consommables;79,5;227060125;227060125;;;73181900;2;Seau;;;1;;
227198160;BOITE DE 100 CHEV. ARPON 6X25;Coredime;Spit;Consommables;5,08;227198160;227198160;;;;;;;;;;
DIAG2494;FORET BETON ROCKFASTER 6 TAILLANTS TETE CARBURE MONOBLOC SDS+ DIAM.8X110MM;Quincaillerie Angles;;;14,45;DIAG2494;DIAG2494;;;;;;;;;;
DIAG2495;FORET BETON ROCKFASTER 6 TAILLANTS TETE CARBURE MONOBLOC SDS+ DIAM.8X160MM;Quincaillerie Angles;;;15,5;DIAG2495;DIAG2495;;;;;;;;;;
CKT31200511;Foret béton SDS 5 x 48 x 110mm (T3120 0511);COMINTER;;Consommables;3,5;CKT31200511;CKT31200511;;;;;;;;;;
CKT31200616;Foret béton SDS 6 x 90 x 160mm (T3120 0616);COMINTER Mayotte;;Consommables;4,51;CKT31200616;CKT31200616;;;;;;;;;;
CKT31200816;Foret béton SDS 8 x 90 x 160 mm;COMINTER;;Consommables;5;CKT31200816;CKT31200816;;;;;;;;;;
5575;Foret béton SDS Ø20x450mm;Telenco;;Accessoires électroportatif;32,17;5575;5575;;;;;;;;;;
300168000;PERFIX 2.5 TB/Ph2 Zn 4.2x25 (500);RFIX;Etanco;Consommables;0,0294;300168000;300168000;;Vis autoforeuse Etanco 4,2x25 vendu boîte 500;;;;;;;;
300178000;PERFIX 4.4 TB/Ph2 Zn 4.8x16;Rfix;Etanco;Consommables;0,0455;300178000;300178000;;Vis autoforeuse;;;;;;;;
300180000;PERFIX 4.4 TB/Ph2 Zn 4.8x19;Rfix;Etanco;Consommables;0,0431;300180000;300180000;;Vis autoforeuse;;;;;;;;
302018000;PERFIX TF/IN410 CA2 4.8x38 P2.7 AC (200u);Rfix;Etanco;Consommables;38,2;302018000;302018000;;;;;;;;;;
304510000;DRILLCO 0.8 TT/Ph2 Ac.Ph.Noir 3.5x35 (1000u);Rfix;Etanco;Consommables;;304510000;304510000;;;;;;;;;;
304520000;DRILLCO 0,8 TT/Ph2 Ac.Ph.Noir 3.5x45 (1000u);Rfix;Etanco;Consommables;21;304520000;304520000;;;;;;;;;;
304530000;DRILLCO 0.8 TT/Ph2 Ac.Ph.Noir 3.5x55 (500u);Rfix;Etanco;Consommables;;304530000;304530000;;;;;;;;;;
325025000;EMBOUT MONOBLOC CARRE N°2 Lg.50mm;Rfix;Etanco;Consommables;6,36;325025000;325025000;;;;;;;;;;
344064000;BARACO/M FM 753 Zn M10/100x170;RFIX;Etanco;Consommables;0,9504;344064000;344064000;;Goujon 10x170;;;;;;;;
359890000;TAPCO GE 5/1x25 Zn;Rfix;Etanco;Consommables;;359890000;359890000;;;;;;;;;;
359942000;TAPCO TF 5/5x30;Rfix;Etanco;Consommables;0,0515;359942000;359942000;;Chevilles à frapper 5x30;;;;;;;;
359948000;TAPCO TF 6/10x40 Zn;Rfix;Etanco;Consommables;0,0631;359948000;359948000;;Chevilles à frapper 6;;;;;;;;
378318000;SERTINOX 6 TH8 2C 6.3x25l19;Rfix;Etanco;Consommables;;378318000;378318000;;;;;;;;;;
378436000;SERTINOX 6 TH8 2C 6.3x75l16;Rfix;Etanco;Consommables;;378436000;378436000;;;;;;;;;;
438111000;Rlx 30MI LRC ECO 20x3 Adh S/papier;Rfix;Etanco;Consommables;;438111000;438111000;;;;;;;;;;
648055011;FOR-PER-PLUS-Q-LV-D5,0-L115-LT50;Coredime;Würth;Consommables;9,589041096;648055011;648055011;;;;;;;;;;
648058011;FORET BETON PLUS Q-LV 8X115 LT50;Coredime;Würth;Consommables;11,30136986;648058011;648058011;;;;;;;;;;
695943971;PELLE A POUSSIERES;Würth;;Consommables;5;695943971;695943971;;;;;;;;;;
695944979;BALAYETTE COCO L45CM;Würth;;Consommables;3,285;695944979;695944979;;;;;;;;;;
992410104;FILM DE PROTECTION 3X25 M - 40 MICRO;Würth;Würth;Consommables;15;992410104;992410104;;;;;;;;;;
1500001065;CARTOUCHE GAZ C200 AVEC SYSTÈME DE SECURITE;109 Distribution;;Consommables;3,5;1500001065;1500001065;;;;;;;;;;
10802523200;MECHE A BOIS PLATE D32;Ravate Pro;;Consommables;5,2;10802523200;10802523200;;;;;;;;;;
018923930;VIS-CS-AUTOFRAIS-HILO-H2-(PHOS)-3,9X30;Coredime;Würth;Consommables;0,035616438;018923930;018923930;;;;;;;;;;
018923945;VIS-CS-AUTOFRAIS-HILO-H2-(PHOS)-3,9X45;Coredime;Würth;Consommables;0,057315068;018923945;018923945;;;;;;;;;;
018923955;VIS-CS-AUTOFRAIS-HILO-H2-(PHOS)-3,9X55;Coredime;Würth;Consommables;0,096027397;018923955;018923955;;;;;;;;;;
019006050;VIS BOIS ASSY4 FT AC ZI 6*50;Coredime;Würth;Consommables;0,130136986;019006050;019006050;;;;;;;;;;
0192640;VIS-DIN571-CLE10-(A2K)-6X40;Coredime;Würth;Consommables;0,092009132;0192640;0192640;;;;;;;;;;
026214;Rocket 4x35 (Boite 500);Ravate Pro;;Consommables;12,24;026214;026214;;Vis à bois 4/35;;;;;;;;
026235;ROCKET 6X50 (BTE200);Ravate Pro;;Consommables;15,73;026235;026235;;;;;;;;;;
039598;STYLO FEUTRE INDELEBILE;COREDIME;Legrand;Consommables;4,8355;LEG039598;039598;;;;;;;;;;
0400401;CORDEX METAL PRO 30m;Ravate Pro;;Consommables;14,79;0400401;0400401;;Cordex;;;;;;;;
054039;Foret R force3+ D.25x450x400;GMR;Spit;Consommables;57,11;054039;054039;;;;;;;;;;
055701;HITM 5x25/5P Bidon 400;GMR;Spit;Consommables;27,001;055701;055701;;;73181900;;;;;;;
055703;Cheville 5x25 (bidon de 1000);GMR;Spit;Consommables;66;055703;055703;;Chevilles à frapper 5x25;;;;;;;;
055704;HITM 6x30 (bidon de 1000);GMR;Spit;Consommables;83;055704;055704;;Chevilles à frapper 6x30;73181900;;;;;;;
055727;DRIVA TP12 Bidon 500;GMR;Spit;Consommables;106;055727;055727;;;73181900;2;Seau;;;1;;
057450;FIX3 8x55/5 /BT100;GMR;Spit;Consommables;35,19;057450;057450;;Goujon Ø8x55;;;;;;;;
057451;FIX3 8x70/20-10 /BT100;GMR;Spit;Consommables;38,33;057451;057451;;Goujon Ø8x70;;;;;;;;
057545;CLOU C6-20+3 CART. GAZ P800/BT1500;GMR;Spit;Consommables;;057545;057545;;;;;;;;;;
057551;CLOU HC6 17 + GAZ P800 BT500;GMR;Spit;Consommables;96;057551;057551;;;;;;;;;;
057552;CLOU HC6 22 + GAZ P800 BT500;GMR;Spit;Consommables;97,513;057552;057552;;;;;;;;;;
59360;Chevilles DRIVA TP12n ;COREDIME;Spit;Consommables;0,2352;59360;59360;;;;;;;;;;
060091;Cheville HIT M 8-60/30P boîte de 50;GMR;Spit;Consommables;9,711;060091;060091;;;;;;;;;;
060095;Cheville à frapper Ø 8mm - longueur 60mm;GMR;Spit;Consommables;17,61;060095;060095;;;;;;;;;;
060169;FIXELEC 8X45 BIDON/800;COREDIME;Spit;Consommables;102;060169;060169;;;;;;;;;;
695 943 971;PELLE A POUSSIERES;Würth;;Consommables;5;695 943 971;695 943 971;;;;;;;;;;
695 944 979;BALAYETTE COCO L45CM;Würth;;Consommables;3,285;695 944 979;695 944 979;;;;;;;;;;
090320840;CHEVILLE NYLON MASTER AVEC COL. 8X40;Coredime;Würth;Consommables;0,102739726;090320840;090320840;;;;;;;;;;
098491;EMBASE Ø8 (boite);109 Distribution;;Consommables;;098491;098491;;;;;;;;;;
992 410 104;FILM DE PROTECTION 3X25 M - 40 MICRO;Würth;Würth;Consommables;15;992 410 104;992 410 104;;;;;;;;;;
09963;ETIQN : Etiquette de repérage rectangulaire noire x100;Telenco;Telenco;Consommables;7,71;09963;09963;;;;;;;;;;
09964;ETIQN : Etiquette de repérage rectangulaire verte x100;Telenco;Telenco;Consommables;7,71;09964;09964;;;;;;;;;;
100022987;PRO BETON H-25 SAC 25KG;Ravate Pro;;Consommables;8,5;100022987;100022987;;;;;;;;;;
118-C100;100 Agrafes INOX A2 10mm type C;Importer;;Consommables;24;118-C100;118-C100;;;;;;;;;;
118-F104;Feuillard Inox A2 EDF 10x0.4mm -50MT;Importer;;Consommables;26,25;118-F104;118-F104;;;;;;;;;;
10400987;PIB SYLV 25x50 2,40m TR4;Ravate Pro;;Consommables;2,26;10400987;10400987;;;;;;;;;;
10401056;PIN SYLV 28x120 4.20M RAB TR4 ;Ravate Pro;;Consommables;13,83;10401056;10401056;;;;;;;;;;
10802523200;MECHE A BOIS PLATE D32;Ravate Pro;;Consommables;5,2;10802523200;10802523200;;;;;;;;;;
11110289;B/PTE SERVICE GALVA 990x2000;RAVATE PRO;;Consommables;12,74;11110289;11110289;;;;;;;;;;
11200400;Enduit colle C7 Multi usage 15Kg;RAVATE PRO;;Consommables;21,25;11200400;11200400;;;;;;;;;;
112200;PIC MAX L.400;GMR;Spit;Consommables;15;112200;112200;;;;;;;;;;
112220;BURIN MAX L.400 LG.25;GMR;Spit;Accessoires électroportatif;15;112220;112220;;;82079099;;;;;;;
131-ROAZL8;Rondelle contact AZ large Ø8mm;Importer;;Consommables;0,432;131-ROAZL8;131-ROAZL8;;;;;;;;;;
120PERB2050;PER TUBE PG BLEU D.16x20 50M;SOPSAR;;Consommables;79;120PERB2050;120PERB2050;;Aiguille pour moins cher;;;;;;;;
12700164;TUBE CARRE GALVA 100x100x3 6M;Ravate Pro;;Consommables;56,61;12700164;12700164;;;;;;;;;;
128783;SOUDACRYL FF. BLC 300ML;RAVATE PRO;;Consommables;3,19;128783;128783;;Silicone;;;;;;;;
141503;TRACEUR CHANTIER NOIR PROMARKER;Ravate Pro;;Consommables;5,78;141503;141503;;;;;;;;;;
141516+;TRACEUR CHANT FLUO ORANG 500ML;RAVATE ELEC;SOPPEC;Consommables;5;141516+;141516+;;;32089091;0,6;Carton;;;40;;
141517+;TRACEUR CHANTIER FLUO JAUNE 500ML;Ravate Pro;;Consommables;5,91;141517+;141517+;;;;;;;;;;
141518+;Traçeur chantier fluo vert 500ml;RAVATE ELEC;;Consommables;5;141518+;141518+;;;;;;;;;;
148540;BARNADHER 10X15 NOIR;RAVATE ELEC;;Consommables;0,75;148540;148540;;;;;;;;;;
148543;BARNADHER 10X15 BLEU;RAVATE ELEC;;Consommables;0,75;148543;148543;;;;;;;;;;
148547;Barnhader 10x15 rouge;Ravate Pro;;Consommables;0,98;148547;148547;;;;;;;;;;
1500001065;CARTOUCHE GAZ C200 AVEC SYSTÈME DE SECURITE;109 Distribution;;Consommables;3,5;1500001065;1500001065;;;;;;;;;;
158202;Sachet 10 PE Basic + écrou ISO20;109 Distribution;;Consommables;8;158202;158202;;;;;;;;;;
158212;Sachet 5 PE Basic + écrou PG21;109 Distribution;BLM;Consommables;4,5;158212;158212;;;;;;;;;;
180032;AERO MAXI NOIR BRILL 600ML;Ravate Pro;;Consommables;7,91;180032;180032;;;;;;;;;;
18903;Cheville Ø8  BT100;Ravate Pro;;Consommables;14,45;18903;18903;;;;;;;;;;
198160;ARPON 6X25 GRAPPE /BT100;COREDIME;Spit;Consommables;4;198160;198160;;;;;;;;;;
1KSA12;COLIS MACON SABLE 0/1 25 KGS;Ravate Pro;;Consommables;6,12;1KSA12;1KSA12;;;;;;;;;;
2007248;VIS PLACO P45 BTE 1000;Ravate Pro;;Consommables;18,7;2007248;2007248;;;73181290;;;;;;;
2151626;MECHE TE-CX 12X170;RAVATE ELEC;Hilti;Consommables;15,45;2151626;2151626;;;;;;;;;;
218080000;NYLON 8x40 avec collerette (100p);Rfix;Etanco;Consommables;2,53;218080000;218080000;;;;;;;;;;
218352000;NYLON X1 8x40;Rfix;Etanco;Consommables;0,0376;218352000;218352000;;;;;;;;;;
21851236;ROCKET 5.0x70 (BT200);Ravate Pro;;Consommables;17,85;21851236;21851236;;;;;;;;;;
0513;Foret béton SDS Ø5x110mm;Telenco;;Accessoires électroportatif;3,04;0513;0513;;;;;;;;;;
0515;Foret béton SDS Ø8x110mm;Telenco;;Accessoires électroportatif;3,22;0515;0515;;;;;;;;;;
287646000;Forêt béton SDS X5L 10x200x260;RFIX;Etanco;Consommables;22,1;287646000;287646000;;Forêt béton 10x200;;;;;;;;
20069;Foret béton SDS+ 4 taillants MILWAUKEE Ø10x160mm;Telenco;;;2,96275;20069;20069;;;;;;;;;;
17304;Foret béton SDS+ 4 taillants MILWAUKEE Ø16x600mm;Telenco;Milwaukee;Accessoires électroportatif;48,8;17304;17304;;Forét Béton SDS PLUS Ø16 - MILWAUKEE;;;;;;;;
227050117;BOITE DE 200 CHEV. HITM 5X35/1;Coredime;Spit;Consommables;16,6;227050117;227050117;;;73181900;;;;;;;
227050118;BOITE DE 200 CHEV. HITM 6X30/5;Coredime;Spit;Consommables;11,07;227050118;227050118;;;73181900;;;;;;;
227050119;BOITE DE 100 CHEV. HITM 6X40/1;COREDIME;Spit;Consommables;0,1147;227050119;227050119;;Cheville à frapper Ø6x40;73181900;;;;;;;
227055701P;BIDON 400 HIT 5/5 27;COREDIME;Spit;Consommables;28,7366;227055701P;227055701P;;;;;;;;;;
227055703P;BIDON 1000 HIT 5/5 27;COREDIME;Spit;Consommables;69,2611;227055703P;227055703P;;;;;;;;;;
227055704P;BIDON 1000 HIT 6/5 32;COREDIME;Spit;Consommables;87,8838;227055704P;227055704P;;;;;;;;;;
227198160;BOITE DE 100 CHEV. ARPON 6X25;Coredime;Spit;Consommables;5,08;227198160;227198160;;;;;;;;;;
20065;"Foret béton SDS+ 4 taillants MILWAUKEE
Ø5x110mm";Telenco;Milwaukee;Accessoires électroportatif;4,1;20065;20065;;Forét Béton SDS PLUS Ø5 - MILWAUKEE;;;;;;;;
20065;"Foret béton SDS+ 4 taillants MILWAUKEE
Ø5x110mm";Telenco;Milwaukee;Accessoires électroportatif;4,1;20065;20065;;Forét Béton SDS PLUS Ø5 - MILWAUKEE;;;;;;;;
20016;"Foret béton SDS+ 4 taillants MILWAUKEE
Ø6x110mm";Telenco;Milwaukee;Accessoires électroportatif;4,68;20016;20016;;Forét Béton SDS PLUS Ø6 - MILWAUKEE;;;;;;;;
20016;"Foret béton SDS+ 4 taillants MILWAUKEE
Ø6x110mm";Telenco;Milwaukee;Accessoires électroportatif;4,68;20016;20016;;Forét Béton SDS PLUS Ø6 - MILWAUKEE;;;;;;;;
22x195x4.2M;PIN SYLV 22x195 4.20M RAB TR4 ;Ravate Pro;;Consommables;16,01;22x195x4.2M;22x195x4.2M;;Planche bois;;;;;;;;
2435;BALAI MENAGE 30CM DOUILLE;RAVATE ELEC;;Consommables;2,55;2435;2435;;;;;;;;;;
260349;Cheville HPS 6/5x30 (BTE 150);Ravate Pro;;Consommables;18,28;260349;260349;;;;;;;;;;
26422;Truelle langue de chat 14 CAZZ REV;Ravate Pro;;Consommables;6,8;26422;26422;;;;;;;;;;
282301;Burin plat TE-CP FM250;RAVATE ELEC;Hilti;Accessoires électroportatif;52,5;282301;282301;;;82079099;;;;;;;
304520000;DRILLCO 0,8 TT/Ph2 Ac.Ph.Noir 3.5x45 (1000u);Rfix;Etanco;Consommables;21;304520000;304520000;;Vis placo ;;;;;;;;
3060;MANCHE BOIS VIS35 BALAI V L120;RAVATE ELEC;;Consommables;3;3060;3060;;;;;;;;;;
33008RF;BOL-CHEVILLE MORPION TP 8X30 BTE 100;Rfix;Etanco;Consommables;0,0557;33008RF;33008RF;;;;;;;;;;
342100;Auge maçon 10L plastique;Ravate Pro;;Consommables;3,15;342100;342100;;;;;;;;;;
34332792;Disque à tronçonner acier/inox 125x1P;Ravate Pro;;Consommables;2,38;34332792;34332792;;;;;;;;;;
359890000;TAPCO GE 5/1x25 Zn;Rfix;Etanco;Consommables;;359890000;359890000;;Chevilles à frapper 5x25;;;;;;;;
3939810;VIS PLACO P35  (BOITE 1000);RAVATE ELEC;;Consommables;12,5;3939810;3939810;;Cheville Placo 5/35;73181290;;;;;;;
39506000;VBU PRO TFfTx25 ZBJ 6.0X50 FT (250p);Rfix;Etanco;Consommables;0,0567;39506000;39506000;;;;;;;;;;
409176;MECHE TE-CX 8x170;RAVATE ELEC;Hilti;Consommables;10,3;409176;409176;;;;;;;;;;
409179;MECHE TE-CX 8X320;Ravate Pro;Hilti;Consommables;26,45;409179;409179;;;;;;;;;;
43009;EMBASE COLSON A VIS;109 Distribution;Eurohm;Consommables;4,9;43009;43009;;;;;;;;;;
433789;MECHE TECX 6x170;RAVATE ELEC;Hilti;Consommables;9,5;433789;433789;;;;;;;;;;
49BV10T;BTE 10 VIS + RONDELLES + ECROU;RAVATE ELEC;CAE Groupe;Consommables;6,05;49BV10T;49BV10T;;;;;;;;;;
49BV50T;Boîte 50 vis écrous cages M6;109 Distribution;;Consommables;19,9;49BV50T;49BV50T;;;;;;;;;;
50108;CHEVILLE S8(BTE100);Ravate Pro;;Consommables;8,76;50108;50108;;;;;;;;;;
504749;GEB SOPLAST COLLE GEL + 500ML;Ravate Pro;;Consommables;15,27;504749;504749;;;;;;;;;;
507060;TIREFOND 6X40 (BTE200);Ravate Pro;;Consommables;10,54;507060;507060;;;;;;;;;;
508002;Tirefond Ø8x50 BT200;Ravate Pro;;Consommables;19,13;508002;508002;;;;;;;;;;
509788;SIKA BOOM 400 FIRE;RAVATE ELEC;Sika;Consommables;25,2;509788;509788;;;;;;;;;;
565844;BOITE DE 100 TIE-CLIP D.16-32;COREDIME;Spit;Consommables;;565844;565844;;;;;;;;;;
569367;JTX Chevilles à frapper 6x35 BT100;YESSS;;Consommables;14,15;569367;569367;;;;;;;;;;
598100;EMBOUT AILET K 100x100;Ravate Pro;;Consommables;1,66;598100;598100;;;;;;;;;;
600301;ADHESIF PVC ORANGE 50MM 33M;RAVATE ELEC;;Consommables;4,2;600301;600301;;Tarifs Octobre 2024;;;;;;;;
600302;ADHESIF PVC ORANGE 75mm 33m;Ravate Pro;;Consommables;7,82;600302;600302;;;;;;;;;;
600653;MORTIER ADHESIF MAK3 25KG;RAVATE PRO;;Consommables;16,65;600653;600653;;Sac de MAP;;;;;;;;
628900;Enduit de rebouchage SIKAWALL 274 R Sac 4Kg;Ravate Pro;Sika;Consommables;15,37;628900;628900;;;;;;;;;;
648547;SIKAREP 105 CLAIR HYDRO 25K;Ravate Pro;Sika;Consommables;11,12;648547;648547;;Sac d'aggrépan;;;;;;;;
659320;SIKAFLEX PRO 11 FC BLC CARTOUCHE;RAVATE ELEC;Sika;Consommables;7,55;659320;659320;;;;;;;;;;
685568;SIKASEAL 107 BLANC CART 300ML;RAVATE PRO;Sika;Consommables;2,88;685568;685568;;;;;;;;;;
695058;Coffret Spit 1000 chevilles 5x25 et 1000 chevilles 6x230 350 chevilles ARPON;GMR;Spit;Consommables;129,95;695058;695058;;;;;;;;;;
695060;Coffret Spit 400 chevilles 5x25 250 chevilles 6x30 150 chevilles DRIVA;GMR;Spit;Consommables;114,95;695060;695060;;;;;;;;;;
6AB100100;CARTON 100 FEUILLES ABSORBANTES HAUTE DENSITE;Protecthoms;;Consommables;82,9;6AB100100;6AB100100;;;;;;;;;;
70-061145;STELLIX 6x35/15 (boîte de 100);GMR;Spit;Consommables;46;70-061145;70-061145;;;;;;;;;;
706;SIKA MONOTOP 612F 25KG;Ravate Pro;Sika;Consommables;24,54;706;706;;;;;;;;;;
706040;BOULON POELIER 6X40 (BTE200);Ravate Pro;;Consommables;17,43;706040;706040;;;;;;;;;;
7466000;RUBAN ADHESIF 15X10 NOIR;109 Distribution;Barnhader;Consommables;0,5;7466000;7466000;;;;;;;;;;
7466001;RUBAN ADHESIF 15X10 BLANC;109 Distribution;Barnhader;Consommables;0,5;7466001;7466001;;;;;;;;;;
7466002;RUBAN ADHESIF 15X10 BLEU;109 Distribution;Barnhader;Consommables;0,5;7466002;7466002;;;;;;;;;;
7466004;RUBAN ADHESIF 15X10 JAUNE;109 Distribution;Barnhader;Consommables;0,5;7466004;7466004;;;;;;;;;;
7466005;RUBAN ADHESIF 15X10 MARRON;109 Distribution;Barnhader;Consommables;0,5;7466005;7466005;;;;;;;;;;
7466006;RUBAN ADHESIF 15X10 ROUGE;109 Distribution;Barnhader;Consommables;0,5;7466006;7466006;;;;;;;;;;
7466008;RUBAN ADHESIF 15X10 VERT/JAUNE;109 Distribution;Barnhader;Consommables;0,5;7466008;7466008;;;;;;;;;;
7466009;RUBAN ADHESIF 15X10 MULTITEINTES;109 Distribution;Barnhader;Consommables;0,5;7466009;7466009;;;;;;;;;;
7466023;RUBAN ADHESIF 15X10 ORANGE;109 Distribution;Barnhader;Consommables;0,5;7466023;7466023;;;;;;;;;;
7901113;Gel BI composant démontable 1L;109 Distribution;;Consommables;55;7901113;7901113;;;;;;;;;;
90030RF;BOL-BLISTER 100 PERFIX TF PH 3.9X25 ZN;Rfix;Etanco;Consommables;0,0596;90030RF;90030RF;;Vis autoforeuse 3,5x25;;;;;;;;
90180RF;BOL-BLISTER 100 PERFIX TCB PH 4.8X19 ZN;Rfix;Etanco;Consommables;;90180RF;90180RF;;;;;;;;;;
A200050;CHEV PLAKNYLON SAN VIS BTE 100;RAVATE ELEC;ING Fixations;Consommables;8,68;A200050;A200050;;;;;;;;;;
A270045;CHEV TAP-VIS 5/0/25 BTE 100;RAVATE ELEC;;Consommables;3,5;A270045;A270045;;;;;;;;;;
A270260;Cheville goulotte 5/25 le seau;RAVATE ELEC;ING Fixations;Consommables;17,33;A270260;A270260;;;;;;;;;;
A270285;SEAU CHEV TAP VIS 5X25 /2500 ING FIXATION;RAVATE ELEC;ING Fixations;Consommables;67;A270285;A270285;;CHEVILLE TAPE VIS 5X25 / a frapper;;;;;;;;
A270290;CHEV TAP-VIS 6/5/35 SEAU 1500;RAVATE ELEC;ING Fixations;Consommables;49,4;A270290;A270290;;;;;;;;;;
AGI088459;TRCO68C TREPAN TRCO68+PORTE TR;COREDIME;AGI-Robur;Consommables;97;AGI088459;AGI088459;;Scie cloche béton;;;;;;;;
AGI229303;TZEFX231 RUB.12 NOIR/BLC FLEX;COREDIME;AGI-Robur;Consommables;25;AGI229303;AGI229303;;;;;;;;;;
AGI235004;NA4115 ADH PVC B 15 MMX10 M;EDOI;AGI-Robur;Consommables;0,5944;AGI235004;AGI235004;;Ruban adhésif;;;;;;;;
ASR610259;Foret FER Diam 8;109 Distribution;;Consommables;3,5;ASR610259;ASR610259;;;;;;;;;;
ASR610263;Foret FER Diam 10;109 Distribution;;Consommables;4,9;ASR610263;ASR610263;;;;;;;;;;
ASRO4833;Scotch orange (carton);109 DISTRIBUTION;;Consommables;144;ASRO4833;ASRO4833;;;;;;;;;;
20017;"Foret béton SDS+ 4 taillants MILWAUKEE
Ø8x110mm";Telenco;Milwaukee;Accessoires électroportatif;5,51;20017;20017;;Forét Béton SDS PLUS Ø8 - MILWAUKEE;;;;;;;;
FMA10147;FORET BOOSTER SDS-PLUS D.05 L.110 3;Quincaillerie Angles;;;11,49;FMA10147;FMA10147;;;;;;;;;;
BAS23397;TIGE FILETEE DIN976 M8X100 EZ;GMR;;Consommables;0,92;BAS23397;BAS23397;;;;;;;;;;
BIDON5X25;BIDON 2500 CHEV TAP-VIS 5X25;109 Distribution;;Consommables;99;BIDON5X25;BIDON5X25;;;;;;;;;;
BIDON6X30;BIDON 900 CHEV TAP-VIS 6X30;109 Distribution;;Consommables;59;BIDON6X30;BIDON6X30;;;;;;;;;;
BIDON6X35;BIDON 1500 CHEV TAP-VIS 6X35;109 Distribution;;Consommables;80;BIDON6X35;BIDON6X35;;;;;;;;;;
BIMUL080;Recharge 80 lingettes multisurfaces Big Wipes;RAVATE ELEC;;Consommables;14,53;BIMUL080;BIMUL080;;;;;;;;;;
BIW-HD120;Lingettes BIG WIPES Heavy-duty;RAVATE ELEC;;Consommables;14,53;BIW-HD120;BIW-HD120;;;;;;;;;;
BOMBEGLV;BOMBE GLV AEROSOL 400 ML;109 Distribution;;Consommables;6;BOMBEGLV;BOMBEGLV;;;;;;;;;;
CABA1.5T250M;Câble d'acier 1.5MM T250M;109 Distribution;;Consommables;59;CABA1.5T250M;CABA1.5T250M;;;;;;;;;;
CAP735980;SCIE CLOCHE 67;COREDIME;Capri;Consommables;65,0423;CAP735980;CAP735980;;Scie cloche placo;82075090;;;;;;;
CEL0-031693;Cheville a frapper CSS sachet de 100;RAVATE ELEC;;Consommables;6,5;CEL0-031693;CEL0-031693;;;;;;;;;;
